assembly_id	File_prefix	biosample	Species	source	host	host_simple	isolation_year	region	Collection	mos_aic_source_specific	mos_aic_source_lab	location	mos_aic_lab_field	mosquito_spp
SKLX043046	GCA_025196105.1	SAMN15461142	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
SKLX043061	GCA_025196065.1	SAMN15461143	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
SKLX043253	GCA_025196045.1	SAMN15461144	Elizabethkingia anophelis	BAL	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
SKLX043464	GCA_025196085.1	SAMN15461145	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
SKLX043571	GCA_025196025.1	SAMN15461146	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
SKLX043863	GCA_025195985.1	SAMN15461147	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
SKLX044294	GCA_025196005.1	SAMN15461148	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX044409	GCA_025195965.1	SAMN15461149	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX044472	GCA_025195925.1	SAMN15461150	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX046790	GCA_025195905.1	SAMN15461151	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX047617	GCA_025195945.1	SAMN15461152	Elizabethkingia anophelis	BAL	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX048961	GCA_025195885.1	SAMN15461153	Elizabethkingia anophelis	Blood	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX048973	GCA_025195865.1	SAMN15461154	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX049674	GCA_025195845.1	SAMN15461155	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX049701	GCA_025195825.1	SAMN15461156	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX051060	GCA_025195805.1	SAMN15461157	Elizabethkingia anophelis	Blood	Homo sapiens	Homo sapiens	2014	Asia	Hu	NA	NA	NA	NA	NA
SKLX051737	GCA_025195785.1	SAMN15461158	Elizabethkingia anophelis	Blood	Homo sapiens	Homo sapiens	2014	Asia	Hu	NA	NA	NA	NA	NA
SKLX055445	GCA_025195765.1	SAMN15461159	Elizabethkingia anophelis	Blood	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
SKLX055448	GCA_025195745.1	SAMN15461160	Elizabethkingia anophelis	Blood	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
SKLX055450	GCA_025195725.1	SAMN15461161	Elizabethkingia anophelis	Blood	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
SKLX057676	GCA_025195685.1	SAMN15461162	Elizabethkingia anophelis	Blood	Homo sapiens	Homo sapiens	2016	Asia	Hu	NA	NA	NA	NA	NA
SKLX059526	GCA_025195705.1	SAMN15461163	Elizabethkingia anophelis	Blood	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX064161	GCA_025195665.1	SAMN15461164	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX064365	GCA_025195625.1	SAMN15461165	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX064367	GCA_025195645.1	SAMN15461166	Elizabethkingia anophelis	Swab	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX064655	GCA_025195565.1	SAMN15461167	Elizabethkingia anophelis	Peripheral catheter	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
